V1	I(D1)
1.090000000000000e-01	1.039244e-07
1.100000000000000e-01	1.062471e-07
1.110000000000000e-01	1.086155e-07
1.120000000000000e-01	1.110305e-07
1.130000000000000e-01	1.134930e-07
1.140000000000000e-01	1.160040e-07
1.150000000000000e-01	1.185644e-07
1.160000000000000e-01	1.211752e-07
1.170000000000000e-01	1.238374e-07
1.180000000000000e-01	1.265519e-07
1.190000000000000e-01	1.293199e-07
1.200000000000000e-01	1.321423e-07
1.210000000000000e-01	1.350203e-07
1.220000000000000e-01	1.379549e-07
1.230000000000000e-01	1.409473e-07
1.240000000000000e-01	1.439985e-07
1.250000000000000e-01	1.471098e-07
1.260000000000000e-01	1.502823e-07
1.270000000000000e-01	1.535173e-07
1.280000000000000e-01	1.568159e-07
1.290000000000000e-01	1.601794e-07
1.300000000000000e-01	1.636091e-07
1.310000000000000e-01	1.671063e-07
1.320000000000000e-01	1.706723e-07
1.330000000000000e-01	1.743084e-07
1.340000000000000e-01	1.780162e-07
1.350000000000000e-01	1.817969e-07
1.360000000000000e-01	1.856520e-07
1.370000000000000e-01	1.895829e-07
1.380000000000000e-01	1.935912e-07
1.390000000000000e-01	1.976784e-07
1.400000000000000e-01	2.018460e-07
1.410000000000000e-01	2.060956e-07
1.420000000000000e-01	2.104289e-07
1.430000000000000e-01	2.148474e-07
1.440000000000000e-01	2.193528e-07
1.450000000000000e-01	2.239470e-07
1.460000000000000e-01	2.286315e-07
1.470000000000000e-01	2.334082e-07
1.480000000000000e-01	2.382789e-07
1.490000000000000e-01	2.432455e-07
1.500000000000000e-01	2.483098e-07
1.510000000000000e-01	2.534737e-07
1.520000000000000e-01	2.587392e-07
1.530000000000000e-01	2.641084e-07
1.540000000000000e-01	2.695833e-07
1.550000000000000e-01	2.751658e-07
1.560000000000000e-01	2.808582e-07
1.570000000000000e-01	2.866627e-07
1.580000000000000e-01	2.925813e-07
1.590000000000000e-01	2.986165e-07
1.600000000000000e-01	3.047703e-07
1.610000000000000e-01	3.110453e-07
1.620000000000000e-01	3.174438e-07
1.630000000000000e-01	3.239682e-07
1.640000000000000e-01	3.306209e-07
1.650000000000000e-01	3.374046e-07
1.660000000000000e-01	3.443218e-07
1.670000000000000e-01	3.513751e-07
1.680000000000000e-01	3.585671e-07
1.690000000000000e-01	3.659007e-07
1.700000000000000e-01	3.733787e-07
1.710000000000000e-01	3.810037e-07
1.720000000000000e-01	3.887789e-07
1.730000000000000e-01	3.967070e-07
1.740000000000000e-01	4.047911e-07
1.750000000000000e-01	4.130343e-07
1.760000000000000e-01	4.214397e-07
1.770000000000000e-01	4.300105e-07
1.780000000000000e-01	4.387500e-07
1.790000000000000e-01	4.476615e-07
1.800000000000000e-01	4.567483e-07
1.810000000000000e-01	4.660139e-07
1.820000000000000e-01	4.754619e-07
1.830000000000000e-01	4.850958e-07
1.840000000000000e-01	4.949192e-07
1.850000000000000e-01	5.049360e-07
1.860000000000000e-01	5.151499e-07
1.870000000000000e-01	5.255648e-07
1.880000000000000e-01	5.361846e-07
1.890000000000000e-01	5.470134e-07
1.900000000000000e-01	5.580553e-07
1.910000000000000e-01	5.693144e-07
1.920000000000000e-01	5.807951e-07
1.930000000000000e-01	5.925018e-07
1.940000000000000e-01	6.044388e-07
1.950000000000000e-01	6.166107e-07
1.960000000000000e-01	6.290221e-07
1.970000000000000e-01	6.416778e-07
1.980000000000000e-01	6.545825e-07
1.990000000000000e-01	6.677412e-07
2.000000000000000e-01	6.811587e-07
2.010000000000000e-01	6.948404e-07
2.020000000000000e-01	7.087912e-07
2.030000000000000e-01	7.230166e-07
2.040000000000000e-01	7.375219e-07
2.050000000000000e-01	7.523126e-07
2.060000000000000e-01	7.673945e-07
2.070000000000000e-01	7.827730e-07
2.080000000000000e-01	7.984542e-07
2.090000000000000e-01	8.144440e-07
2.100000000000000e-01	8.307484e-07
2.110000000000000e-01	8.473737e-07
2.120000000000000e-01	8.643261e-07
2.130000000000000e-01	8.816121e-07
2.140000000000000e-01	8.992383e-07
2.150000000000000e-01	9.172113e-07
2.160000000000000e-01	9.355380e-07
2.170000000000000e-01	9.542254e-07
2.180000000000000e-01	9.732804e-07
2.190000000000000e-01	9.927105e-07
2.200000000000000e-01	1.012523e-06
2.210000000000000e-01	1.032725e-06
2.220000000000000e-01	1.053325e-06
2.230000000000000e-01	1.074330e-06
2.240000000000000e-01	1.095749e-06
2.250000000000000e-01	1.117589e-06
2.260000000000000e-01	1.139858e-06
2.270000000000000e-01	1.162566e-06
2.280000000000000e-01	1.185721e-06
2.290000000000000e-01	1.209332e-06
2.300000000000000e-01	1.233407e-06
2.310000000000000e-01	1.257956e-06
2.320000000000000e-01	1.282987e-06
2.330000000000000e-01	1.308512e-06
2.340000000000000e-01	1.334539e-06
2.350000000000000e-01	1.361078e-06
2.360000000000000e-01	1.388139e-06
2.370000000000000e-01	1.415733e-06
2.380000000000000e-01	1.443869e-06
2.390000000000000e-01	1.472560e-06
2.400000000000000e-01	1.501814e-06
2.410000000000000e-01	1.531645e-06
2.420000000000000e-01	1.562063e-06
2.430000000000000e-01	1.593079e-06
2.440000000000000e-01	1.624705e-06
2.450000000000000e-01	1.656954e-06
2.460000000000000e-01	1.689838e-06
2.470000000000000e-01	1.723368e-06
2.480000000000000e-01	1.757559e-06
2.490000000000000e-01	1.792422e-06
2.500000000000000e-01	1.827971e-06
2.510000000000000e-01	1.864220e-06
2.520000000000000e-01	1.901182e-06
2.530000000000000e-01	1.938871e-06
2.540000000000000e-01	1.977302e-06
2.550000000000000e-01	2.016490e-06
2.560000000000000e-01	2.056448e-06
2.570000000000000e-01	2.097193e-06
2.580000000000000e-01	2.138740e-06
2.590000000000000e-01	2.181104e-06
2.600000000000000e-01	2.224301e-06
2.610000000000000e-01	2.268349e-06
2.620000000000000e-01	2.313264e-06
2.630000000000000e-01	2.359062e-06
2.640000000000000e-01	2.405762e-06
2.650000000000000e-01	2.453381e-06
2.660000000000000e-01	2.501936e-06
2.670000000000000e-01	2.551447e-06
2.680000000000000e-01	2.601933e-06
2.690000000000000e-01	2.653412e-06
2.700000000000000e-01	2.705903e-06
2.710000000000000e-01	2.759428e-06
2.720000000000000e-01	2.814006e-06
2.730000000000000e-01	2.869659e-06
2.740000000000000e-01	2.926406e-06
2.750000000000000e-01	2.984270e-06
2.760000000000000e-01	3.043272e-06
2.770000000000000e-01	3.103436e-06
2.780000000000000e-01	3.164783e-06
2.790000000000000e-01	3.227338e-06
2.800000000000000e-01	3.291124e-06
2.810000000000000e-01	3.356165e-06
2.820000000000000e-01	3.422485e-06
2.830000000000000e-01	3.490111e-06
2.840000000000000e-01	3.559068e-06
2.850000000000000e-01	3.629381e-06
2.860000000000000e-01	3.701078e-06
2.870000000000000e-01	3.774186e-06
2.880000000000000e-01	3.848733e-06
2.890000000000000e-01	3.924746e-06
2.900000000000000e-01	4.002256e-06
2.910000000000000e-01	4.081290e-06
2.920000000000000e-01	4.161880e-06
2.930000000000000e-01	4.244056e-06
2.940000000000000e-01	4.327848e-06
2.950000000000000e-01	4.413290e-06
2.960000000000000e-01	4.500413e-06
2.970000000000000e-01	4.589250e-06
2.980000000000000e-01	4.679836e-06
2.990000000000000e-01	4.772204e-06
